patient_id,sex,population,superpopulation
HG02250,M,CDX,EAS
HG02252,F,PEL,AMR
HG02253,M,PEL,AMR
HG02255,M,ACB,AFR
HG02256,F,ACB,AFR
HG02257,F,ACB,AFR
HG02258,M,ACB,AFR
HG02259,M,PEL,AMR
HG02260,F,PEL,AMR
HG02261,M,PEL,AMR
HG02262,M,PEL,AMR
HG02265,M,PEL,AMR
HG02266,F,PEL,AMR
HG02271,M,PEL,AMR
HG02272,F,PEL,AMR
HG02273,F,PEL,AMR
HG02274,M,PEL,AMR
HG02275,F,PEL,AMR
HG02277,M,PEL,AMR
HG02278,F,PEL,AMR
HG02279,M,PEL,AMR
HG02280,F,ACB,AFR
HG02281,M,ACB,AFR
HG02282,F,ACB,AFR
HG02283,M,ACB,AFR
HG02284,M,ACB,AFR
HG02285,M,PEL,AMR
HG02286,F,PEL,AMR
HG02287,F,PEL,AMR
HG02291,M,PEL,AMR
HG02292,F,PEL,AMR
HG02293,F,PEL,AMR
HG02298,F,PEL,AMR
HG02299,M,PEL,AMR
HG02300,M,PEL,AMR
HG02301,F,PEL,AMR
HG02302,M,PEL,AMR
HG02303,F,PEL,AMR
HG02304,M,PEL,AMR
HG02307,M,ACB,AFR
HG02308,F,ACB,AFR
HG02309,F,ACB,AFR
HG02312,F,PEL,AMR
HG02314,M,ACB,AFR
HG02315,F,ACB,AFR
HG02316,M,ACB,AFR
HG02317,M,ACB,AFR
HG02318,F,ACB,AFR
